Date ,Country,Factory,Style #,Style description,Inspection Type,PO,Order QTY,Status,Exit Factory Date,Brand,QTY of Inspection Date Changes,Date Report Emailed to Factory,Comments
"Saturday, 28 March 2026",,,,,,,,,,,,,
"Sunday, 29 March 2026",,,,,,,,,,,,,
"Monday, 30 March 2026",,,,,,,,,,,,,
"Monday, 30 March 2026",Bangladesh,Kadena Sportwear Ltd,P165-002,MENS HEATED VEST,PPM,P375878.KA,500,,20/06/2026,POLARIS,,,Not yet ready
"Monday, 30 March 2026",Bangladesh,Kadena Sportwear Ltd,P166-002,WOMENS HEATED VEST,PPM,P375878.KA,500,,21/06/2026,POLARIS,,,Not yet ready
,,,,,,,,,,,,,
"Tuesday, 31 March 2026",,,,,,,,,,,,,
"Wednesday, 1 April 2026",,,,No Schedule, ,,,,,,,,
"Thursday, 2 April 2026",,,,Go to Dhakarea by car and reached about 10:30  am,,,,,,,,,
"Thursday, 2 April 2026",Bangladesh,Flex/Dhakarea,6811-000,PETROL FLEXFIT 110 NO LINE ARCH CAP,FINAL,PO3686,800,Pass,,KLIM,,,
"Thursday, 2 April 2026",Bangladesh,Flex/Dhakarea,6814-000,ESCAPE MESH 4MESH X CAP,FINAL,PO3686,800,Pass,,KLIM,,,
"Thursday, 2 April 2026",Bangladesh,Flex/Dhakarea,6814-000,ESCAPE MESH 4MESH X CAP,FINAL,PO3686,200,Pass,,KLIM,,,
"Thursday, 2 April 2026",Bangladesh,Flex/Dhakarea, 6820-000,ESCAPE MESH 4MESH X CAP,FINAL,PO3686,1000,Pass,,KLIM,,,
"Thursday, 2 April 2026",,,,"Back to home by car, reached home about 7:30 pm",,,,,,,,,
"Friday, 3 April 2026",,,,,,,,,,,,,
"Saturday, 4 April 2026",,,,,,,,,,,,,
"Monday, 6 April 2026",,,,No Schedule,,,,,,,,,
"Tuesday, 7 April 2026",,,,No Schedule,,,,,,,,,
"Wednesday, 8 April 2026",,,,No Schedule,,,,,,,,,
"Thursday, 9 April 2026",,,,No Schedule,,,,,,,,,
"Friday, 10 April 2026",,,,,,,,,,,,,
"Saturday, 11 April 2026",,,,Go to Dhakarea by car and reached about 10:30 am,,,,,,,,,
"Saturday, 11 April 2026",Bangladesh,Flex/Dhakarea,6803-000,PERFORMANCE FLEXFIT 110 ,FINAL,PO3686,1900,Pass,,KLIM,,,
"Saturday, 11 April 2026",Bangladesh,Flex/Dhakarea,4042-004,GLACIER FLEXFIT X CAP,FINAL,PO3686,2000,Pass,,KLIM,,,
"Saturday, 11 April 2026",Bangladesh,Flex/Dhakarea,6810-000,K SHIELD FLEXFIT 110 1FT LYP CAP,FINAL,PO3686,1000,Pass,,KLIM,,,
,,,,"Back to home by car, reached home about 7:30 pm",,,,,,,,,
"Sunday, 12 April 2026",,,,No Schedule,,,,,,,,,
"Monday, 13 April 2026",Bangladesh,Flex/Dhakarea,P1292-000, SHADOW LOG,FINAL,P140518.FL,864,,,POLARIS,,,Goods are not yeat ready
"Monday, 13 April 2026",Bangladesh,Flex/Dhakarea,P1324-000 , SLOPE CAP,FINAL,P140518.FL,1152,,,POLARIS,,,Goods are not yeat ready
"Monday, 13 April 2026",Bangladesh,Flex/Dhakarea,P177-001,STEALTH CAM,FINAL,P140518.FL,576,,,POLARIS,,,Goods are not yeat ready
"Monday, 13 April 2026",Bangladesh,Flex/Dhakarea,P1292-000,SHADOW LOG,FINAL,PO2601014,288,,,POLARIS,,,Goods are not yeat ready
"Tuesday, 14 April 2026",,,,Pohela Boishakh/Bengali new year 1433,,,,,,,,,
"Wednesday, 15 April 2026",Bangladesh,Flex/Dhakarea,P238-002 ,POLARIS RAC,FINAL,PO2601014,864,,,POLARIS,,,Goods are not yeat ready
"Wednesday, 15 April 2026",Bangladesh,Flex/Dhakarea,P177-001 ,STEALTH CAM,FINAL,PO2601014,576,,,POLARIS,,,Goods are not yeat ready
"Wednesday, 15 April 2026",Bangladesh,Flex/Dhakarea,P1293-000 ,HERITAGE C,FINAL,PO2601014,864,,,POLARIS,,,Goods are not yeat ready
"Thursday, 16 April 2026",,,,,,,,,,,,,
"Thursday, 16 April 2026",Bangladesh,Kadena Sportwear Ltd,3391-001, OVERRIDE JACKET,ppm,PO3667,1202,,,KLIM,,,Goods are not yeat ready
"Thursday, 16 April 2026",Bangladesh,Kadena Sportwear Ltd,3475-000, OVERRIDE JACKET e-FIRE,ppm,PO3667,1321,,,KLIM,,,Goods are not yeat ready
"Thursday, 16 April 2026",Bangladesh,Kadena Sportwear Ltd,3394-001, OVERRIDE ALLOY  JACKET,ppm,PO3667,1001,,,KLIM,,,Goods are not yeat ready
"Friday, 17 April 2026",,,,,,,,,,,,,
"Saturday, 18 April 2026",,,,Go to Kadena by car and bus reached about 11am,,,,,,,,,
"Saturday, 18 April 2026",Bangladesh,Kadena Sportwear Ltd,3254-002,Transition Softshell Pant,PPM,PO3681,1001,fail,,KLIM,,,
"Saturday, 18 April 2026",Bangladesh,Kadena Sportwear Ltd,3395-001, OVERRIDE ALLOY  PANT,ppm,PO3667,712,fail,,KLIM,,,
"Saturday, 18 April 2026",Bangladesh,Kadena Sportwear Ltd,3375-006 ,TOMAHAWK BIB,ppm,PO3667,1001,fail,,KLIM,,,
"Saturday, 18 April 2026",Bangladesh,Kadena Sportwear Ltd,P415-001,MENS HEATED LINER GLOVE,PPM,P375878.KA,1000,,16/05/2026,POLARIS,,,
"Saturday, 18 April 2026",,,,"Back to home by bus & car, reached home about ",,,,,,,,,
"Sunday, 19 April 2026",,,,No Schedule,,,,,,,,,
"Monday, 20 April 2026",,,,No Schedule,,,,,,,,,
"Tuesday, 21 April 2026",,,,No Schedule,,,,,,,,,
"Wednesday, 22 April 2026",,,,No Schedule,,,,,,,,,
"Thursday, 23 April 2026",,,,No Schedule,,,,,,,,,
"Friday, 24 April 2026",,,,,,,,,,,,,
"Saturday, 25 April 2026",,,,,,,,,,,,,
"Sunday, 26 April 2026",,,,Go to Kadena by car and bus reached about 11am,,,,,,,,,
"Sunday, 26 April 2026",Bangladesh,Kadena Sportwear Ltd,3395-001, OVERRIDE ALLOY  PANT,1ST INLINE,PO3667,712,fail,,KLIM,,,
"Sunday, 26 April 2026",Bangladesh,Kadena Sportwear Ltd,3375-006 ,TOMAHAWK BIB,1ST INLINE,PO3667,1001,fail,,KLIM,,,
,Bangladesh,Kadena Sportwear Ltd,3254-002,Transition Softshell Pant,1ST INLINE,PO3681,1001,fail,,KLIM,,,
"Sunday, 26 April 2026",Bangladesh,Kadena Sportwear Ltd,P415-001,MENS HEATED LINER GLOVE,1ST INLINE,P375878.KA,1000,,16/05/2026,POLARIS,,,Not yet ready 
"Sunday, 26 April 2026",,,,,,,,,,KLIM,,,
"Sunday, 26 April 2026",Bangladesh,Kadena Sportwear Ltd,3109-S09,MOJAVE JERSEY,1ST INLINE,PO3687,86,,01/05/2026,KLIM,,,Not yet ready 
"Sunday, 26 April 2026",Bangladesh,Kadena Sportwear Ltd,3122-S03,DAKAR JACKET,1ST INLINE,PO3687,55,,01/05/2026,KLIM,,,Not yet ready 
"Sunday, 26 April 2026",Bangladesh,Kadena Sportwear Ltd,3142-S05,DARKAR PANT OTB,1ST INLINE,PO3687,55,,01/05/2026,KLIM,,,Not yet ready 
"Sunday, 26 April 2026",Bangladesh,Kadena Sportwear Ltd,3143-S05,MOJAVE PANT,1ST INLINE,PO3687,49,,01/05/2026,KLIM,,,Not yet ready 
"Sunday, 26 April 2026",Bangladesh,Kadena Sportwear Ltd,3182-S06,DAKAR PANT ITB,1ST INLINE,PO3687,55,,01/05/2026,KLIM,,,Not yet ready 
